iter	Passed	Remaining
658	2623	9319
659	2627	9314
660	2630	9309
661	2634	9304
662	2638	9299
663	2642	9294
664	2645	9289
665	2649	9284
666	2653	9280
667	2656	9275
668	2660	9270
669	2664	9266
670	2668	9261
671	2671	9256
672	2675	9251
673	2679	9246
674	2683	9241
675	2686	9237
676	2690	9232
677	2694	9227
678	2697	9222
679	2701	9217
680	2705	9212
681	2709	9207
682	2712	9203
683	2716	9198
684	2720	9194
685	2724	9189
686	2727	9184
687	2731	9179
688	2735	9174
689	2739	9170
690	2742	9165
691	2746	9160
692	2750	9155
693	2754	9150
694	2757	9146
695	2761	9141
696	2765	9136
697	2768	9132
698	2772	9127
699	2776	9121
700	2779	9117
701	2783	9112
702	2787	9107
703	2791	9103
704	2794	9098
705	2798	9093
706	2802	9089
707	2806	9084
708	2810	9080
709	2813	9075
710	2817	9070
711	2821	9066
712	2824	9061
713	2828	9055
714	2832	9050
715	2835	9046
716	2839	9041
717	2843	9036
718	2847	9032
719	2850	9027
720	2854	9023
721	2858	9018
722	2862	9013
723	2865	9009
724	2869	9005
725	2873	9000
726	2877	8996
727	2881	8992
728	2885	8988
729	2889	8984
730	2893	8980
731	2896	8975
732	2900	8970
733	2905	8968
734	2909	8966
735	2913	8961
736	2916	8956
737	2920	8951
738	2924	8947
739	2928	8942
740	2931	8937
741	2935	8932
742	2939	8927
743	2942	8923
744	2946	8918
745	2950	8913
746	2953	8909
747	2957	8904
748	2961	8899
749	2964	8894
750	2968	8890
751	2972	8885
752	2976	8881
753	2980	8877
754	2983	8872
755	2987	8868
756	2991	8864
757	2995	8859
758	2998	8854
759	3002	8849
760	3006	8845
761	3010	8840
762	3013	8835
763	3017	8831
764	3021	8826
765	3024	8822
766	3028	8817
767	3032	8812
768	3036	8808
769	3039	8803
770	3043	8798
771	3047	8794
772	3050	8789
773	3054	8784
774	3058	8780
775	3061	8775
776	3065	8770
777	3069	8766
778	3073	8761
779	3076	8757
780	3080	8752
781	3084	8747
782	3087	8743
783	3091	8738
784	3095	8734
785	3099	8729
786	3102	8725
787	3106	8720
788	3110	8715
789	3114	8711
790	3117	8706
791	3121	8702
792	3125	8697
793	3128	8693
794	3132	8688
795	3136	8683
796	3139	8679
797	3143	8674
798	3147	8669
799	3151	8665
800	3154	8661
801	3158	8656
802	3162	8651
803	3165	8646
804	3169	8642
805	3173	8637
806	3176	8633
807	3180	8628
808	3184	8624
809	3188	8619
810	3191	8615
811	3195	8611
812	3199	8606
813	3203	8601
814	3206	8597
815	3210	8593
816	3214	8589
817	3218	8584
818	3222	8580
819	3225	8575
820	3229	8571
821	3233	8566
822	3237	8562
823	3240	8558
824	3244	8554
825	3248	8549
826	3252	8545
827	3255	8540
828	3259	8536
829	3263	8532
830	3267	8527
831	3270	8522
832	3274	8518
833	3278	8514
834	3282	8509
835	3285	8505
836	3289	8501
837	3293	8496
838	3297	8492
839	3300	8487
840	3304	8483
841	3308	8478
842	3311	8474
843	3315	8469
844	3319	8465
845	3323	8460
846	3326	8456
847	3330	8451
848	3334	8447
849	3337	8442
850	3341	8438
851	3345	8433
852	3348	8428
853	3352	8424
854	3355	8419
855	3359	8414
856	3363	8410
857	3366	8405
858	3370	8400
859	3373	8395
860	3377	8390
861	3381	8386
862	3384	8381
863	3388	8376
864	3391	8371
865	3395	8367
866	3399	8362
867	3402	8358
868	3406	8353
869	3409	8348
870	3413	8343
871	3417	8339
872	3420	8334
873	3424	8329
874	3427	8325
875	3431	8320
876	3435	8315
877	3438	8310
878	3442	8306
879	3445	8301
880	3449	8297
881	3453	8292
882	3457	8288
883	3460	8283
884	3464	8279
885	3468	8274
886	3471	8270
887	3475	8266
888	3479	8261
889	3482	8257
890	3486	8253
891	3490	8248
892	3494	8245
893	3498	8241
894	3502	8237
895	3505	8232
896	3509	8228
897	3513	8224
898	3517	8219
899	3521	8216
900	3525	8212
901	3529	8208
902	3532	8204
903	3536	8200
904	3540	8196
905	3544	8193
906	3548	8189
907	3552	8185
908	3556	8181
909	3560	8176
910	3563	8172
911	3567	8167
912	3571	8163
913	3574	8158
914	3578	8154
915	3582	8150
916	3586	8145
917	3589	8141
918	3593	8137
919	3597	8132
920	3600	8128
921	3604	8123
922	3608	8119
923	3611	8115
924	3615	8110
925	3619	8106
926	3622	8101
927	3626	8097
928	3630	8093
929	3634	8088
930	3637	8083
931	3641	8079
